env_id,generation,mean,std
Pendulum-v1,0,-1155.4531363173214,84.25108359884567
Pendulum-v1,1,-1112.9549374902115,59.001560612634826
Pendulum-v1,2,-1029.3968747501426,93.40642957154374
Pendulum-v1,3,-1001.6812719392101,139.9070586507235
Pendulum-v1,4,-945.7092299381669,115.16374433543751
Pendulum-v1,5,-944.2431313764097,114.87022609692194
Pendulum-v1,6,-928.3040451772974,114.60466933112599
Pendulum-v1,7,-928.3040451772974,114.60466933112599
Pendulum-v1,8,-910.9493185450985,100.1883058282454
Pendulum-v1,9,-910.9493185450985,100.1883058282455
Pendulum-v1,10,-894.5865305182757,75.30591814791099
Pendulum-v1,11,-878.6178792640437,71.4129332844706
Pendulum-v1,12,-868.9299916366487,58.219732859423374
Pendulum-v1,13,-868.9299916366487,58.219732859423374
Pendulum-v1,14,-861.7374596085549,57.28979661199184
Pendulum-v1,15,-835.4477705849713,34.206502729802544
Pendulum-v1,16,-763.1488647812419,160.93790154763903
Pendulum-v1,17,-763.1488647812381,160.93790154764747
Pendulum-v1,18,-749.5439664069563,154.27447077671232
Pendulum-v1,19,-738.5560371349967,151.45598286153964
Pendulum-v1,20,-738.5560371338472,151.45598286053584
Pendulum-v1,21,-717.6889235673715,139.98743334427286
Pendulum-v1,22,-715.0773830540072,136.90039108638433
Pendulum-v1,23,-715.0773830539537,136.90039108632277
Pendulum-v1,24,-715.0773830539537,136.90039108632277
Pendulum-v1,25,-702.0724096642494,137.25303908999805
Pendulum-v1,26,-696.2468822118423,139.39222365883197
Pendulum-v1,27,-654.8577382838811,182.7721171169002
Pendulum-v1,28,-642.0115810386458,177.4699088763116
Pendulum-v1,29,-642.0115810460161,177.46990887806538
Pendulum-v1,30,-554.7977663650469,225.3665793094541
Pendulum-v1,31,-527.6631459147268,231.35546040539685
Pendulum-v1,32,-507.0702208966847,227.07462508302595
Pendulum-v1,33,-507.0702208966847,227.07462508302595
Pendulum-v1,34,-507.0702208966847,227.07462508302595
Pendulum-v1,35,-488.9885831116756,252.33045571397238
Pendulum-v1,36,-488.988583112012,252.3304557134657
Pendulum-v1,37,-448.8515533656102,223.08221673424626
Pendulum-v1,38,-448.85155318761724,223.08221643490404
Pendulum-v1,39,-385.68869449019655,216.92561380499583
Pendulum-v1,40,-385.68869449144756,216.9256138042089
Pendulum-v1,41,-384.5960848253329,216.88008344200168
Pendulum-v1,42,-384.59608482974875,216.8800834421301
Pendulum-v1,43,-373.54350660636135,217.9641003715127
Pendulum-v1,44,-360.72901657615034,222.67485793123564
Pendulum-v1,45,-336.52236542606346,234.1068981986431
Pendulum-v1,46,-327.8789899777197,237.9294075074485
Pendulum-v1,47,-318.47948588979074,243.76337646294405
Pendulum-v1,48,-318.47948588979074,243.76337646294405
Pendulum-v1,49,-318.47948588979074,243.76337646294405
Pendulum-v1,50,-318.03073064575256,244.08368621376027
Pendulum-v1,51,-318.03073064575256,244.08368621376027
Pendulum-v1,52,-317.12171974557634,244.74383736034724
Pendulum-v1,53,-298.3072044676434,252.1493772217319
Pendulum-v1,54,-298.3072044700426,252.14937722035384
Pendulum-v1,55,-298.3072044700426,252.14937722035384
Pendulum-v1,56,-298.3072044700426,252.14937722035384
Pendulum-v1,57,-297.149478799182,252.87904421090406
Pendulum-v1,58,-296.75041202425876,253.1362079094581
Pendulum-v1,59,-296.750412024259,253.13620790945797
Pendulum-v1,60,-294.298799472726,254.77894711369856
Pendulum-v1,61,-294.2987994731017,254.77894711343853
Pendulum-v1,62,-294.2987994731017,254.77894711343853
Pendulum-v1,63,-294.2987994731017,254.77894711343853
Pendulum-v1,64,-294.2987994731017,254.77894711343853
Pendulum-v1,65,-294.2987994731017,254.77894711343853
Pendulum-v1,66,-294.2987994731017,254.77894711343853
Pendulum-v1,67,-294.2987994731017,254.77894711343853
Pendulum-v1,68,-294.2987994731017,254.77894711343853
Pendulum-v1,69,-294.2987994731017,254.77894711343853
Pendulum-v1,70,-294.2987994731017,254.77894711343853
Pendulum-v1,71,-294.2987994731017,254.77894711343853
Pendulum-v1,72,-294.2987994731017,254.77894711343853
Pendulum-v1,73,-294.2987994731017,254.77894711343853
Pendulum-v1,74,-294.2987994731017,254.77894711343853
Pendulum-v1,75,-294.2987994731017,254.77894711343853
Pendulum-v1,76,-294.2987994731017,254.77894711343853
Pendulum-v1,77,-294.2987994731017,254.77894711343853
Pendulum-v1,78,-294.2987994731017,254.77894711343853
Pendulum-v1,79,-289.0340104676806,257.42593228319015
Pendulum-v1,80,-289.0340104676806,257.42593228319015
Pendulum-v1,81,-289.0340104676806,257.42593228319015
Pendulum-v1,82,-289.0340104676806,257.42593228319015
Pendulum-v1,83,-289.0340104676806,257.42593228319015
