env_id,generation,mean,std
LunarLander-v3,0,-34.71193587181095,
LunarLander-v3,1,-34.71193587181095,
LunarLander-v3,2,-16.64625051949261,
LunarLander-v3,3,35.0551627166254,
LunarLander-v3,4,35.0551627166254,
LunarLander-v3,5,35.0551627166254,
LunarLander-v3,6,39.385443758347115,
LunarLander-v3,7,39.385443758347115,
LunarLander-v3,8,57.941116529756854,
LunarLander-v3,9,57.941116529756854,
LunarLander-v3,10,57.941116529756854,
LunarLander-v3,11,127.25184563240198,
LunarLander-v3,12,127.25184563240198,
LunarLander-v3,13,127.25184563240198,
LunarLander-v3,14,127.25184563240198,
LunarLander-v3,15,133.94594409917698,
LunarLander-v3,16,140.0270186140396,
LunarLander-v3,17,140.0270186140396,
LunarLander-v3,18,140.0270186140396,
LunarLander-v3,19,171.46639476023773,
LunarLander-v3,20,171.46639476023773,
LunarLander-v3,21,171.46639476023773,
LunarLander-v3,22,172.59358716899374,
LunarLander-v3,23,176.82215304542737,
LunarLander-v3,24,176.82215304542737,
LunarLander-v3,25,176.82215304542737,
LunarLander-v3,26,179.3664816472498,
LunarLander-v3,27,179.3664816472498,
LunarLander-v3,28,179.3664816472498,
LunarLander-v3,29,179.3664816472498,
LunarLander-v3,30,179.3664816472498,
LunarLander-v3,31,183.042699895215,
LunarLander-v3,32,183.042699895215,
LunarLander-v3,33,183.06410934569976,
LunarLander-v3,34,183.06410934569976,
LunarLander-v3,35,183.96166998054017,
LunarLander-v3,36,184.6081656571656,
LunarLander-v3,37,184.6081656571656,
LunarLander-v3,38,184.6081656571656,
LunarLander-v3,39,184.6081656571656,
LunarLander-v3,40,184.6081656571656,
LunarLander-v3,41,187.6714531325591,
LunarLander-v3,42,188.23028192504376,
LunarLander-v3,43,188.23028192504376,
LunarLander-v3,44,188.23028192504376,
LunarLander-v3,45,193.69544191995544,
LunarLander-v3,46,193.69544191995544,
LunarLander-v3,47,193.69544191995544,
LunarLander-v3,48,193.69544191995544,
LunarLander-v3,49,193.69544191995544,
LunarLander-v3,50,193.69544191995544,
LunarLander-v3,51,193.69544191995544,
LunarLander-v3,52,193.69544191995544,
LunarLander-v3,53,193.69544191995544,
LunarLander-v3,54,193.69544191995544,
LunarLander-v3,55,193.69544191995544,
LunarLander-v3,56,193.69544191995544,
LunarLander-v3,57,198.25115289378263,
LunarLander-v3,58,198.25115289378263,
LunarLander-v3,59,198.25115289378263,
LunarLander-v3,60,198.25115289378263,
LunarLander-v3,61,198.25115289378263,
LunarLander-v3,62,198.25115289378263,
LunarLander-v3,63,198.25115289378263,
LunarLander-v3,64,198.25115289378263,
LunarLander-v3,65,198.25115289378263,
LunarLander-v3,66,198.25115289378263,
LunarLander-v3,67,198.25115289378263,
LunarLander-v3,68,198.25115289378263,
LunarLander-v3,69,198.25115289378263,
LunarLander-v3,70,198.25115289378263,
LunarLander-v3,71,198.25115289378263,
LunarLander-v3,72,198.25115289378263,
LunarLander-v3,73,198.25115289378263,
LunarLander-v3,74,198.25115289378263,
LunarLander-v3,75,198.25115289378263,
LunarLander-v3,76,198.25115289378263,
LunarLander-v3,77,200.592342764264,
LunarLander-v3,78,200.592342764264,
LunarLander-v3,79,200.592342764264,
LunarLander-v3,80,203.81973592346483,
LunarLander-v3,81,203.81973592346483,
LunarLander-v3,82,203.81973592346483,
LunarLander-v3,83,203.81973592346483,
LunarLander-v3,84,203.81973592346483,
LunarLander-v3,85,203.81973592346483,
LunarLander-v3,86,203.81973592346483,
LunarLander-v3,87,203.81973592346483,
LunarLander-v3,88,203.81973592346483,
LunarLander-v3,89,203.81973592346483,
LunarLander-v3,90,203.81973592346483,
LunarLander-v3,91,203.81973592346483,
LunarLander-v3,92,203.81973592346483,
LunarLander-v3,93,203.81973592346483,
LunarLander-v3,94,206.0604753132108,
LunarLander-v3,95,206.0604753132108,
LunarLander-v3,96,206.0604753132108,
LunarLander-v3,97,206.0604753132108,
LunarLander-v3,98,206.0604753132108,
LunarLander-v3,99,206.0604753132108,
LunarLander-v3,100,206.0604753132108,
LunarLander-v3,101,206.0604753132108,
LunarLander-v3,102,206.0604753132108,
LunarLander-v3,103,206.0604753132108,
LunarLander-v3,104,206.0604753132108,
LunarLander-v3,105,206.0604753132108,
LunarLander-v3,106,206.0604753132108,
LunarLander-v3,107,206.0604753132108,
LunarLander-v3,108,206.0604753132108,
LunarLander-v3,109,206.0604753132108,
LunarLander-v3,110,206.0604753132108,
LunarLander-v3,111,206.0604753132108,
LunarLander-v3,112,206.0604753132108,
LunarLander-v3,113,206.0604753132108,
LunarLander-v3,114,206.7968612835307,
LunarLander-v3,115,206.7968612835307,
LunarLander-v3,116,206.7968612835307,
LunarLander-v3,117,206.7968612835307,
LunarLander-v3,118,206.7968612835307,
LunarLander-v3,119,206.7968612835307,
LunarLander-v3,120,206.7968612835307,
LunarLander-v3,121,210.4709848646904,
LunarLander-v3,122,210.4709848646904,
LunarLander-v3,123,211.24612830317784,
LunarLander-v3,124,211.24612830317784,
LunarLander-v3,125,211.24612830317784,
LunarLander-v3,126,211.24612830317784,
LunarLander-v3,127,211.24612830317784,
LunarLander-v3,128,211.24612830317784,
LunarLander-v3,129,211.24612830317784,
LunarLander-v3,130,211.24612830317784,
LunarLander-v3,131,211.24612830317784,
LunarLander-v3,132,211.24612830317784,
LunarLander-v3,133,211.24612830317784,
LunarLander-v3,134,211.24612830317784,
LunarLander-v3,135,211.24612830317784,
LunarLander-v3,136,211.24612830317784,
LunarLander-v3,137,211.24612830317784,
LunarLander-v3,138,211.24612830317784,
LunarLander-v3,139,211.24612830317784,
LunarLander-v3,140,211.24612830317784,
LunarLander-v3,141,211.24612830317784,
LunarLander-v3,142,211.24612830317784,
LunarLander-v3,143,211.24612830317784,
LunarLander-v3,144,211.24612830317784,
LunarLander-v3,145,211.24612830317784,
LunarLander-v3,146,211.24612830317784,
LunarLander-v3,147,211.24612830317784,
LunarLander-v3,148,211.24612830317784,
LunarLander-v3,149,211.24612830317784,
LunarLander-v3,150,211.24612830317784,
LunarLander-v3,151,211.24612830317784,
LunarLander-v3,152,211.97663089147417,
LunarLander-v3,153,211.97663089147417,
LunarLander-v3,154,211.97663089147417,
LunarLander-v3,155,211.97663089147417,
LunarLander-v3,156,211.97663089147417,
LunarLander-v3,157,211.97663089147417,
LunarLander-v3,158,211.97663089147417,
LunarLander-v3,159,211.97663089147417,
LunarLander-v3,160,211.97663089147417,
LunarLander-v3,161,211.97663089147417,
LunarLander-v3,162,211.97663089147417,
LunarLander-v3,163,211.97663089147417,
LunarLander-v3,164,211.97663089147417,
LunarLander-v3,165,211.97663089147417,
LunarLander-v3,166,211.97663089147417,
LunarLander-v3,167,211.97663089147417,
LunarLander-v3,168,211.97663089147417,
LunarLander-v3,169,211.97663089147417,
LunarLander-v3,170,211.97663089147417,
LunarLander-v3,171,211.97663089147417,
LunarLander-v3,172,211.97663089147417,
LunarLander-v3,173,211.97663089147417,
LunarLander-v3,174,211.97663089147417,
LunarLander-v3,175,211.97663089147417,
LunarLander-v3,176,211.97663089147417,
LunarLander-v3,177,211.97663089147417,
LunarLander-v3,178,211.97663089147417,
